scenario_id,scenario_title,primary_incident_family,secondary_issue_labels,scenario_facts,reference_date,incident_date,incident_time,incident_setting,location_type,jurisdiction_country,jurisdiction_state,ongoing_or_past,current_danger_status,injury_present,threat_present,property_involved,police_contacted,legal_help_requested,expected_participant_count,expected_event_count,source_type,created_by,reviewed_by,privacy_status,split
SCN000126,Formal Grievance: Cyber Fraud and Ransomware attack Incident,Cybercrime,Ransomware attack,"Dear Cyber Crime Portal, I am writing to register an official cybercrime incident regarding ransomware attack that targets my system. At 04:18 on 2026-07-15, illegal server access was achieved through the Online platform, leading to severe data breach and financial compromise.",2023-10-13,2023-09-21,04:18,Online,Online platform,India,Maharashtra,recent_past,No,False,True,True,False,True,3,1,expert_authored,USR900,REV309,synthetic_no_pii,validation
SCN000127,Roadways disruption via hit and run collision,Traffic & Road Incidents,Hit and run collision,A vehicular incident involving hit and run collision occurred on the local highway at 12:29. The collision or blockage led to structural vehicular property damage and caused a severe traffic bottleneck requiring immediate clearing.,2023-10-09,2023-09-26,12:29,Physical,Highway,India,West Bengal,ongoing,Yes,True,False,True,False,False,4,1,human_written,USR121,REV413,synthetic_no_pii,validation
SCN000128,Dealing with a messy guardianship dispute,Family Law,Guardianship dispute,"So I was waiting at the hostel around 20:42 today for my scheduled meeting, when my ex turned up and started an absolute argument over our guardianship dispute. They completely refused to abide by what the court originally decided. I'm just so drained by this ongoing legal battle.",2023-10-14,2023-09-28,20:42,Physical,Hostel,India,West Bengal,recent_past,No,False,False,False,False,True,4,3,human_written,USR819,REV747,synthetic_no_pii,test
SCN000129,Roadways disruption via traffic signal violation dispute,Traffic & Road Incidents,Traffic signal violation dispute,A vehicular incident involving traffic signal violation dispute occurred on the local road at 12:43. The collision or blockage led to structural vehicular property damage and caused a severe traffic bottleneck requiring immediate clearing.,2023-10-12,2023-09-28,12:43,Physical,Road,India,Delhi,recent_past,No,False,False,False,True,True,3,3,expert_authored,USR805,REV353,synthetic_no_pii,validation
SCN000130,Real estate dispute involving tenant-landlord conflict,Property Disputes,Tenant-landlord conflict,"A property conflict classified under tenant-landlord conflict was documented at the apartment at 16:07. The dispute involves contested boundaries and ownership titles, requiring civil or criminal mediation to preserve public order.",2023-10-15,2023-09-30,16:07,Hybrid,Apartment,India,Telangana,past,No,False,True,True,True,True,2,2,synthetic_reviewed,USR935,REV933,synthetic_no_pii,challenge
SCN000131,avoid this place fraud expired or contaminated goods sale,Consumer Disputes,Expired or contaminated goods sale,guys heads up do NOT buy anything from that Kirana store!! just experienced a massive expired or contaminated goods sale around 07:25 today. they completely cheated me on the transaction and refused a refund. super sketchy service watch out,2023-10-06,2023-10-01,07:25,Physical,Kirana store,India,Gujarat,past,No,True,False,True,True,True,2,2,synthetic_reviewed,USR371,REV152,synthetic_no_pii,train
SCN000132,Formal Complaint: Urgent Traffic Safety Violation - Reckless driving confrontation,Traffic & Road Incidents,Reckless driving confrontation,"Dear Traffic Police Commissioner, I am writing to formally report an escalating safety issue, specifically a recent reckless driving confrontation that occurred at the Highway. The incident took place on 2026-07-14 at 09:15 hours, creating significant hazards for other motorists.",2023-10-24,2023-10-04,09:15,Physical,Highway,India,Delhi,recent_past,No,False,False,True,True,False,3,2,human_written,USR131,REV103,synthetic_no_pii,train
SCN000133,I think my accounts just got wiped out by a ransomware attack,Cybercrime,Ransomware attack,"So I clicked this link thinking it was an official notification around 16:54 yesterday, and suddenly I was locked out of my account. I realized it was a total ransomware attack when my savings started moving out. I'm completely panicking right now.",2023-10-12,2023-10-06,16:54,Online,Shop,India,Delhi,past,No,False,True,True,True,False,2,4,expert_authored,USR992,REV477,synthetic_no_pii,validation
SCN000134,Digital breach via phishing scam,Cybercrime,Phishing scam,"An incident of phishing scam compromised security systems across the specified Online platform at 23:11. Electronic credentials were manipulated remotely by unknown malicious actors, triggering secondary security protocols.",2023-10-07,2023-10-07,23:11,Online,Online platform,India,Tamil Nadu,past,No,False,True,True,True,True,1,4,human_written,USR239,REV908,synthetic_no_pii,train
SCN000135,Formal Complaint: Unauthorized Land encroachment at Premises,Property Disputes,Land encroachment,"Dear Revenue Officer / Police Commissioner, I am writing to register an urgent complaint regarding a critical instance of land encroachment affecting my House. The unlawful activity intensified on 2026-06-30 at 13:49 hours, causing direct infringement on my registered property rights.",2023-11-08,2023-10-09,13:49,Physical,House,India,Telangana,recent_past,No,False,True,True,False,True,6,4,synthetic_reviewed,USR377,REV173,synthetic_no_pii,train
SCN000136,Detailed cyber forensic summary of online banking fraud exploit,Cybercrime,Online banking fraud,"On the date of 2026-07-02, an advanced threat actor initiated an exploit categorized under online banking fraud targeting remote infrastructures at approximately 15:42. The intrusion vectors reveal highly organized techniques using social engineering methods or brute-force automation to penetrate authorization systems on the Online platform. Immediate isolation of the network endpoints was executed to limit exposure within the regional jurisdiction.",2023-11-05,2023-10-11,15:42,Online,Online platform,India,Gujarat,recent_past,No,False,True,True,True,False,2,3,expert_authored,USR748,REV117,synthetic_no_pii,test
SCN000137,They literally ripped me off with refusal of service refund,Consumer Disputes,Refusal of service refund,"So I went to this online platform around 09:47 and explicitly paid for premium service, but I faced absolute refusal of service refund instead. When I asked the manager to fix it or give my money back, they were super rude and completely brushed me off. Never buying from here again.",2023-10-26,2023-10-12,09:47,Online,Online platform,India,West Bengal,ongoing,No,False,False,True,True,True,3,4,expert_authored,USR695,REV365,synthetic_no_pii,train
SCN000138,Formal Grievance: Unfair Trade Practice & False advertising and misrepresentation,Consumer Disputes,False advertising and misrepresentation,"Dear Consumer Forum Support, I am writing to formally register a merchant complaint regarding a severe instance of false advertising and misrepresentation that occurred at Shop on 2026-06-22 at 18:56 hours. Despite multiple amicable requests, the management refused to honor the standard consumer guarantees.",2023-11-02,2023-10-17,18:56,Physical,Shop,India,Karnataka,recent_past,No,False,False,True,True,True,2,2,synthetic_reviewed,USR277,REV832,synthetic_no_pii,test
SCN000139,Detailed administrative summary of divorce proceedings conflict litigation status,Family Law,Divorce proceedings conflict,"On the date of 2026-06-22, a major civil friction classified under divorce proceedings conflict escalated during a familial meeting at the designated house at approximately 07:37 hours. The dispute involves competing claims regarding maintenance allocations or custody arrangements, leading to severe communication breakdown between the principal parties. The current circumstances indicate an immediate requirement for legal intervention to mandate adherence to statutory family frameworks within the state jurisdiction.",2023-11-11,2023-10-22,07:37,Hybrid,House,India,Gujarat,past,No,False,False,True,False,True,4,2,synthetic_reviewed,USR814,REV218,synthetic_no_pii,validation
SCN000140,They literally ripped me off with defective product delivery,Consumer Disputes,Defective product delivery,"So I went to this shop around 14:25 and explicitly paid for premium service, but I faced absolute defective product delivery instead. When I asked the manager to fix it or give my money back, they were super rude and completely brushed me off. Never buying from here again.",2023-11-17,2023-10-23,14:25,Hybrid,Shop,India,Telangana,past,No,False,False,True,False,True,2,4,human_written,USR524,REV569,synthetic_no_pii,train
SCN000141,Formal Complaint & Request for Protection: Emotional and verbal abuse,Domestic Violence,Emotional and verbal abuse,"Dear Protection Officer, I am writing to formally report an escalating pattern of domestic violence, specifically emotional and verbal abuse, at my residence. The latest major confrontation took place on 2026-07-03 around 20:49. I urgently request legal assistance and protective measures.",2023-10-27,2023-10-24,20:49,Physical,House,India,Gujarat,recent_past,No,False,True,False,True,True,4,2,human_written,USR665,REV688,synthetic_no_pii,challenge
SCN000142,This person literally threatened me at the road,Assault & Threats,Physical altercation,"I was just minding my own business at the road around 15:29, when this aggressive person started shouting at me out of nowhere. Then it escalated into a complete physical altercation and they said they'd hurt me if they saw me again. Genuinely terrified.",2023-11-07,2023-10-24,15:29,Physical,Road,India,Maharashtra,recent_past,No,True,True,True,True,False,2,3,human_written,USR331,REV616,synthetic_no_pii,train
SCN000143,alert dont open links cyberstalking,Cybercrime,Cyberstalking,hey guys warning someone hacked my account via cyberstalking just now around 12:58!! if u get any weird text or payment requests from me DO NOT transfer any money it is a fraud scam click nothing,2023-11-26,2023-10-31,12:58,Online,House,India,Karnataka,past,No,False,True,False,False,True,3,1,expert_authored,USR164,REV136,synthetic_no_pii,test
SCN000144,Reported consumer grievance regarding refusal of service refund,Consumer Disputes,Refusal of service refund,"Complainant states that on 2026-07-04 at approximately 20:11 hours, a transaction dispute involving refusal of service refund occurred at Shop. The vendor reportedly engaged in unfair trade practices, failing to resolve the commercial non-compliance. Relevant purchase invoices have been logged.",2023-11-19,2023-10-31,20:11,Hybrid,Shop,India,Maharashtra,past,No,False,False,True,True,False,2,3,human_written,USR841,REV888,synthetic_no_pii,validation
SCN000145,urgent help needed vehicle theft,Theft and robbery,Vehicle theft,omg someone just took my things at the Parking lot!!! occurred just now around 02:46 hours. anyone nearby please help or tell me where the nearest police booth is asap!! lost everything inside my bag,2023-11-19,2023-11-02,02:46,Physical,Parking lot,India,Telangana,ongoing,No,False,True,True,False,False,4,5,synthetic_reviewed,USR650,REV793,synthetic_no_pii,test
SCN000146,They literally ripped me off with overcharging and hidden fees,Consumer Disputes,Overcharging and hidden fees,"So I went to this restaurant around 10:35 and explicitly paid for premium service, but I faced absolute overcharging and hidden fees instead. When I asked the manager to fix it or give my money back, they were super rude and completely brushed me off. Never buying from here again.",2023-12-03,2023-11-05,10:35,Physical,Restaurant,India,Maharashtra,past,No,False,False,True,False,False,2,1,synthetic_reviewed,USR420,REV161,synthetic_no_pii,challenge
SCN000147,Bystander log of a lost item reporting,Miscellaneous,Lost item reporting,"The observer noted a minor public disturbance developing near the local railway station around 11:35. The situation involved a distinct lost item reporting, drawing the attention of passing commuters before local municipal workers arrived on site.",2023-11-22,2023-11-06,11:35,Physical,Railway station,India,West Bengal,past,No,False,False,True,False,True,3,1,human_written,USR879,REV438,synthetic_no_pii,test
SCN000148,Formal Grievance: Urgent Resolution Required for Public nuisance dispute,Miscellaneous,Public nuisance dispute,"Dear Municipal Authorities, I am writing to formally log a civic grievance regarding the ongoing pattern of public nuisance dispute at the Residential street. The latest escalation occurred on 2026-06-28 at 18:10 hours, causing localized hazards that require immediate civic attention.",2023-11-20,2023-11-10,18:10,Physical,Residential street,India,Delhi,recent_past,No,False,False,True,False,True,3,2,synthetic_reviewed,USR607,REV978,synthetic_no_pii,test
SCN000149,Confrontation involving physical altercation,Assault & Threats,Physical altercation,"An incident involving sudden physical altercation broke out at the bar/pub around 04:54. The aggressor initiated intense physical or verbal hostility against the victim, forcing bystanders to intervene to prevent further escalation.",2023-11-24,2023-11-10,04:54,Physical,Bar/Pub,India,Uttar Pradesh,past,No,False,True,False,True,False,2,4,human_written,USR517,REV916,synthetic_no_pii,validation
SCN000150,Roadways disruption via drunk driving accident,Traffic & Road Incidents,Drunk driving accident,A vehicular incident involving drunk driving accident occurred on the local road at 03:08. The collision or blockage led to structural vehicular property damage and caused a severe traffic bottleneck requiring immediate clearing.,2023-11-30,2023-11-14,03:08,Physical,Road,India,Uttar Pradesh,recent_past,No,True,False,True,True,False,3,2,synthetic_reviewed,USR930,REV903,synthetic_no_pii,validation
SCN000151,Reported incident of physical altercation at road,Assault & Threats,Physical altercation,"Complainant states that on 2026-06-21 at approximately 13:21 hours, a severe case of physical altercation transpired at Road. The accused allegedly engaged in hostile behavior, posing immediate threat to the victim. Medical examination conducted where applicable.",2023-12-02,2023-11-14,13:21,Physical,Road,India,Maharashtra,past,No,True,True,False,False,False,3,2,synthetic_reviewed,USR835,REV555,synthetic_no_pii,train
SCN000152,Witness account of vehicle theft,Theft and robbery,Vehicle theft,"The observer noticed two suspicious individuals loitering near the parking lot around 19:19. Shortly after, they approached the victim from behind, forcefully committed vehicle theft, and fled the scene on a two-wheeler heading north.",2023-12-06,2023-11-16,19:19,Physical,Parking lot,India,Tamil Nadu,recent_past,No,False,False,True,False,True,3,4,synthetic_reviewed,USR239,REV232,synthetic_no_pii,test
SCN000153,Detailed corporate brief on localized cheque forgery detection,Financial Fraud,Cheque forgery,"On the morning of 2026-07-06, a sophisticated financial manipulation strategy matching the parameters of cheque forgery was discovered at the designated office around 17:15 hours. The transaction logs indicate that highly specialized methods were utilized to manipulate verification nodes, enabling the illicit diversion of capital. Internal risk assets teams have initiated emergency containment protocols while formal complaints are being forwarded to statutory economic offenses wings within the state jurisdiction.",2023-12-08,2023-11-20,17:15,Physical,Office,India,Telangana,recent_past,No,False,False,True,True,True,1,2,human_written,USR825,REV533,synthetic_no_pii,train
SCN000154,Reported matrimonial/family grievance regarding restitution of conjugal rights,Family Law,Restitution of conjugal rights,"Complainant registers a family matter notification involving an active restitution of conjugal rights at the premises. On 2026-06-23 at approximately 11:16 hours, an escalation occurred regarding legal compliance or child visitation parameters. Relevant documentation has been requested for family court presentation.",2023-11-23,2023-11-21,11:16,Physical,Apartment,India,Gujarat,recent_past,No,False,False,False,True,True,3,3,synthetic_reviewed,USR465,REV676,synthetic_no_pii,challenge
SCN000155,Shopbreaking at Showroom,Theft and robbery,Shopbreaking,"A swift incident of shopbreaking took place at the local showroom during peak hours. The victim lost valuable items instantly, and the unidentified suspect fled immediately before any bystanders could intervene.",2023-11-22,2023-11-22,03:44,Physical,Showroom,India,Delhi,past,No,False,True,True,False,False,1,3,synthetic_reviewed,USR794,REV950,synthetic_no_pii,train
SCN000156,Formal Grievance: Violation of Labor Rights - Breach of employment contract,Employment/Labour,Breach of employment contract,"Dear Human Resources and Labor Commissioner, I am writing to formally lodge a grievance regarding the ongoing pattern of breach of employment contract within the Online platform. The definitive breach transpired on 2026-07-02 at 06:55 hours, violating explicit terms of my employment contract and local statutory codes.",2023-12-09,2023-11-25,06:55,Online,Online platform,India,Tamil Nadu,past,No,False,False,True,False,True,2,4,expert_authored,USR422,REV494,synthetic_no_pii,validation
SCN000157,This person literally threatened me at the shop,Assault & Threats,Verbal intimidation,"I was just minding my own business at the shop around 17:35, when this aggressive person started shouting at me out of nowhere. Then it escalated into a complete verbal intimidation and they said they'd hurt me if they saw me again. Genuinely terrified.",2023-12-23,2023-11-25,17:35,Physical,Shop,India,Telangana,past,No,False,True,False,True,False,4,3,synthetic_reviewed,USR345,REV911,synthetic_no_pii,challenge
SCN000158,Comprehensive administrative brief on illegal property possession escalation,Property Disputes,Illegal property possession,"On the afternoon of 2026-07-08, a long-standing land friction culminated in an explicit case of illegal property possession at the designated house around 22:26 hours. The incident involved rival claimants attempting physical occupation or structural modification without valid legal injunctions. Local law enforcement intervened to mandate a status quo until the appropriate regional civil courts review the structural registration parameters and revenue maps under the state jurisdiction.",2023-12-27,2023-11-28,22:26,Physical,House,India,Telangana,past,No,False,False,True,False,True,4,2,synthetic_reviewed,USR152,REV868,synthetic_no_pii,validation
SCN000159,Reported consumer grievance regarding overcharging and hidden fees,Consumer Disputes,Overcharging and hidden fees,"Complainant states that on 2026-07-16 at approximately 15:05 hours, a transaction dispute involving overcharging and hidden fees occurred at Hotel. The vendor reportedly engaged in unfair trade practices, failing to resolve the commercial non-compliance. Relevant purchase invoices have been logged.",2023-12-14,2023-11-28,15:05,Physical,Hotel,India,Telangana,recent_past,No,False,False,True,True,False,3,1,human_written,USR293,REV565,synthetic_no_pii,train
SCN000160,They literally ripped me off with overcharging and hidden fees,Consumer Disputes,Overcharging and hidden fees,"So I went to this restaurant around 23:42 and explicitly paid for premium service, but I faced absolute overcharging and hidden fees instead. When I asked the manager to fix it or give my money back, they were super rude and completely brushed me off. Never buying from here again.",2023-12-16,2023-11-29,23:42,Physical,Restaurant,India,Telangana,recent_past,No,False,True,True,True,True,2,2,synthetic_reviewed,USR795,REV406,synthetic_no_pii,train
SCN000161,Formal Grievance: Unauthorized Transaction and Cheque forgery,Financial Fraud,Cheque forgery,"Dear Nodal Officer / Bank Authority, I am writing to formally log an emergency grievance regarding an severe case of cheque forgery executed against my portfolio through the Office. The breach occurred on 2026-06-26 at 05:41 hours, violating standard security checks and clearing mechanisms.",2023-12-22,2023-12-07,05:41,Physical,Office,India,Gujarat,recent_past,No,False,False,True,True,True,3,4,expert_authored,USR614,REV935,synthetic_no_pii,validation
SCN000162,Formal Complaint & Request for Protection: Spousal physical abuse,Domestic Violence,Spousal physical abuse,"Dear Protection Officer, I am writing to formally report an escalating pattern of domestic violence, specifically spousal physical abuse, at my residence. The latest major confrontation took place on 2026-07-10 around 01:31. I urgently request legal assistance and protective measures.",2023-12-28,2023-12-09,01:31,Physical,House,India,Maharashtra,past,No,False,True,False,True,True,4,2,expert_authored,USR863,REV874,synthetic_no_pii,validation
SCN000163,Urgent Complaint: Incident of Physical altercation at Road,Assault & Threats,Physical altercation,"Dear Management, I am writing to formally log a grievance regarding a distressing incident of physical altercation that occurred today at approximately 02:53 within the Road. The aggressive posturing and direct threats have created an incredibly hostile and unsafe environment.",2023-12-11,2023-12-11,02:53,Physical,Road,India,Tamil Nadu,ongoing,Yes,True,True,True,False,False,4,2,expert_authored,USR677,REV362,synthetic_no_pii,test
SCN000164,Comprehensive review of regional noise pollution grievance notification,Miscellaneous,Noise pollution grievance,"On the date of 2026-07-10, a minor unclassified neighborhood disruption manifesting as noise pollution grievance materialized at the specified apartment at approximately 00:24 hours. The incident details demonstrate a clear operational or administrative failure concerning municipal upkeep or public behavior regulations, causing secondary delays for community residents. Local community leaders have logged an official complaint to expedite resolution within the state jurisdiction.",2024-01-02,2023-12-12,00:24,Physical,Apartment,India,Maharashtra,past,No,False,False,True,True,True,2,2,synthetic_reviewed,USR661,REV214,synthetic_no_pii,validation
SCN000165,Bystander report of a domestic family dispute,Family Law,Restitution of conjugal rights,"The observer noted a highly emotional confrontation between two estranged family members outside the house around 21:58. The argument was explicitly regarding a severe case of restitution of conjugal rights, with both sides loudly contesting rights before local residents requested calm.",2024-01-10,2023-12-12,21:58,Physical,House,India,Delhi,recent_past,No,False,False,False,True,True,2,4,expert_authored,USR927,REV547,synthetic_no_pii,validation
SCN000166,alert dont open links identity theft,Cybercrime,Identity theft,hey guys warning someone hacked my account via identity theft just now around 07:10!! if u get any weird text or payment requests from me DO NOT transfer any money it is a fraud scam click nothing,2024-01-12,2023-12-14,07:10,Online,Online platform,India,Uttar Pradesh,past,No,False,False,True,False,False,1,3,expert_authored,USR731,REV678,synthetic_no_pii,validation
SCN000167,Reported labor dispute regarding unfair termination,Employment/Labour,Unfair termination,"Complainant registers a formal grievance concerning employer violations under the category of unfair termination at the designated office. The incident occurred on 2026-06-27 at approximately 00:56 hours, wherein the management failed to comply with statutory labor provisions. Corporate payroll and logs have been requested.",2023-12-29,2023-12-15,00:56,Online,Office,India,Tamil Nadu,past,No,False,False,False,True,True,2,4,expert_authored,USR581,REV408,synthetic_no_pii,challenge
SCN000168,Chain snatching at Alleyway,Theft and robbery,Chain snatching,"A swift incident of chain snatching took place at the local alleyway during peak hours. The victim lost valuable items instantly, and the unidentified suspect fled immediately before any bystanders could intervene.",2023-12-29,2023-12-24,17:13,Physical,Alleyway,India,Uttar Pradesh,recent_past,No,False,True,True,False,True,3,5,expert_authored,USR303,REV738,synthetic_no_pii,validation
SCN000169,Detailed evaluation of institutional unfair termination violation,Employment/Labour,Unfair termination,"On the date of 2026-07-03, a major institutional friction classified as unfair termination materialized at the specified office at approximately 06:32. The circumstances indicate structured operational non-compliance by the management regarding standard working protocols or financial settlements, directly compromising employee protections. Internal grievance workflows were completely bypassed by leadership, compelling the affected party to seek statutory legal remedies through regional labor councils.",2023-12-25,2023-12-24,06:32,Online,Office,India,Gujarat,recent_past,No,False,False,True,True,False,2,1,synthetic_reviewed,USR670,REV523,synthetic_no_pii,validation
SCN000170,Detailed corporate brief on localized ponzi scheme investment fraud detection,Financial Fraud,Ponzi scheme investment fraud,"On the morning of 2026-07-08, a sophisticated financial manipulation strategy matching the parameters of ponzi scheme investment fraud was discovered at the designated house around 08:29 hours. The transaction logs indicate that highly specialized methods were utilized to manipulate verification nodes, enabling the illicit diversion of capital. Internal risk assets teams have initiated emergency containment protocols while formal complaints are being forwarded to statutory economic offenses wings within the state jurisdiction.",2023-12-25,2023-12-25,08:29,Physical,House,India,Telangana,recent_past,No,False,False,True,False,True,2,2,synthetic_reviewed,USR436,REV654,synthetic_no_pii,test
SCN000171,management issue breach of employment contract,Employment/Labour,Breach of employment contract,"hey guys bad news. just had a huge fight with HR at the Online platform regarding breach of employment contract around 08:45 today. they are trying to cheat us out of our terms or fire people arbitrarily. check your emails immediately, we need to stand together on this",2024-01-05,2023-12-26,08:45,Online,Online platform,India,Uttar Pradesh,past,No,False,False,True,False,False,2,4,synthetic_reviewed,USR283,REV485,synthetic_no_pii,validation
SCN000172,Labor non-compliance involving workplace harassment,Employment/Labour,Workplace harassment,"An employment dispute involving workplace harassment escalated at the showroom at 19:44. The worker alleged severe breach of workplace regulations, seeking administrative or legal intervention to recover standard dues or ensure workplace safety.",2024-01-05,2023-12-31,19:44,Physical,Showroom,India,West Bengal,ongoing,No,False,False,False,True,True,3,2,human_written,USR775,REV454,synthetic_no_pii,validation
SCN000173,Detailed analysis of shopbreaking occurrence,Theft and robbery,Shopbreaking,"On the date of 2026-07-08, a major incidence of shopbreaking was executed at the designated shop under complex environmental circumstances. The perpetrator leveraged the crowded nature of the location to approach undetected, exploiting a momentary lapse in security vigilance. Following the commission of the act, the individual navigated through the exit corridors effectively evading immediate pursuit. Emergency services were notified subsequently, initiating a localized investigation into the security vulnerabilities of this particular jurisdiction.",2024-01-07,2024-01-02,13:34,Physical,Shop,India,Uttar Pradesh,recent_past,No,False,False,True,False,False,3,3,expert_authored,USR816,REV499,synthetic_no_pii,train
SCN000174,Comprehensive review of regional minor civic infrastructure issue notification,Miscellaneous,Minor civic infrastructure issue,"On the date of 2026-06-22, a minor unclassified neighborhood disruption manifesting as minor civic infrastructure issue materialized at the specified alleyway at approximately 01:39 hours. The incident details demonstrate a clear operational or administrative failure concerning municipal upkeep or public behavior regulations, causing secondary delays for community residents. Local community leaders have logged an official complaint to expedite resolution within the state jurisdiction.",2024-01-16,2024-01-02,01:39,Physical,Alleyway,India,Karnataka,recent_past,No,False,False,False,False,True,2,3,expert_authored,USR269,REV187,synthetic_no_pii,test
SCN000175,Digital breach via online banking fraud,Cybercrime,Online banking fraud,"An incident of online banking fraud compromised security systems across the specified Mobile app at 02:31. Electronic credentials were manipulated remotely by unknown malicious actors, triggering secondary security protocols.",2024-01-23,2024-01-07,02:31,Online,Mobile app,India,Gujarat,past,No,False,True,True,False,False,3,4,human_written,USR651,REV205,synthetic_no_pii,challenge
SCN000176,Confrontation involving road rage assault,Assault & Threats,Road rage assault,"An incident involving sudden road rage assault broke out at the road around 00:57. The aggressor initiated intense physical or verbal hostility against the victim, forcing bystanders to intervene to prevent further escalation.",2024-02-03,2024-01-08,00:57,Physical,Road,India,Telangana,recent_past,No,False,True,True,False,True,4,1,human_written,USR275,REV330,synthetic_no_pii,challenge
SCN000177,Detailed analysis of chain snatching occurrence,Theft and robbery,Chain snatching,"On the date of 2026-07-03, a major incidence of chain snatching was executed at the designated residential street under complex environmental circumstances. The perpetrator leveraged the crowded nature of the location to approach undetected, exploiting a momentary lapse in security vigilance. Following the commission of the act, the individual navigated through the exit corridors effectively evading immediate pursuit. Emergency services were notified subsequently, initiating a localized investigation into the security vulnerabilities of this particular jurisdiction.",2024-02-01,2024-01-11,18:37,Physical,Residential street,India,Maharashtra,past,No,False,True,True,False,True,3,5,expert_authored,USR558,REV237,synthetic_no_pii,validation
SCN000178,Urgent Complaint: Incident of Road rage assault at Highway,Assault & Threats,Road rage assault,"Dear Management, I am writing to formally log a grievance regarding a distressing incident of road rage assault that occurred today at approximately 04:40 within the Highway. The aggressive posturing and direct threats have created an incredibly hostile and unsafe environment.",2024-02-08,2024-01-13,04:40,Physical,Highway,India,Telangana,recent_past,No,True,True,False,False,True,3,1,synthetic_reviewed,USR912,REV954,synthetic_no_pii,challenge
SCN000179,Commercial dispute involving refusal of service refund,Consumer Disputes,Refusal of service refund,"A transactional incident concerning refusal of service refund broke out at the local workplace at 06:31. The buyer alleged a direct breach of contractual terms regarding product quality or billing accuracy, resulting in an active consumer dispute.",2024-02-03,2024-01-14,06:31,Hybrid,Workplace,India,Gujarat,recent_past,No,False,False,True,True,True,3,4,expert_authored,USR190,REV750,synthetic_no_pii,train
SCN000180,management issue breach of employment contract,Employment/Labour,Breach of employment contract,"hey guys bad news. just had a huge fight with HR at the Online platform regarding breach of employment contract around 10:57 today. they are trying to cheat us out of our terms or fire people arbitrarily. check your emails immediately, we need to stand together on this",2024-01-19,2024-01-19,10:57,Hybrid,Online platform,India,Delhi,past,No,False,False,True,True,False,2,1,human_written,USR957,REV261,synthetic_no_pii,test
SCN000181,Comprehensive review of commercial expired or contaminated goods sale claim,Consumer Disputes,Expired or contaminated goods sale,"On the date of 2026-06-29, a formal consumer conflict classified as expired or contaminated goods sale manifested during a commercial interaction at the designated marketplace around 19:29. The transaction parameters reveal an explicit deviation from advertising claims or legal standards, directly compromising buyer safety and financial protection. Standard operational dispute channels were exhausted without success, prompting an escalation to statutory regulatory oversight mechanisms.",2024-02-01,2024-01-20,19:29,Physical,Marketplace,India,Gujarat,recent_past,No,True,False,True,True,False,3,3,synthetic_reviewed,USR682,REV598,synthetic_no_pii,validation
SCN000182,Formal Grievance: Violation of Labor Rights - Unfair termination,Employment/Labour,Unfair termination,"Dear Human Resources and Labor Commissioner, I am writing to formally lodge a grievance regarding the ongoing pattern of unfair termination within the Workplace. The definitive breach transpired on 2026-07-03 at 06:32 hours, violating explicit terms of my employment contract and local statutory codes.",2024-01-25,2024-01-20,06:32,Hybrid,Workplace,India,Maharashtra,past,No,False,False,True,False,True,5,2,synthetic_reviewed,USR821,REV209,synthetic_no_pii,challenge
SCN000183,Formal Complaint: Urgent Traffic Safety Violation - Hit and run collision,Traffic & Road Incidents,Hit and run collision,"Dear Traffic Police Commissioner, I am writing to formally report an escalating safety issue, specifically a recent hit and run collision that occurred at the Road. The incident took place on 2026-07-07 at 10:21 hours, creating significant hazards for other motorists.",2024-02-12,2024-01-23,10:21,Physical,Road,India,Karnataka,recent_past,No,True,False,True,True,False,3,1,synthetic_reviewed,USR795,REV678,synthetic_no_pii,test
SCN000184,urgent property issue land encroachment,Property Disputes,Land encroachment,guys please help they are trying to take over the Agricultural land right now!! experiencing a severe land encroachment since 08:37. they brought workers and are breaking down boundaries. please check if anyone can come over fast,2024-02-12,2024-01-23,08:37,Physical,Agricultural land,India,Delhi,recent_past,No,False,True,True,False,True,6,1,human_written,USR997,REV398,synthetic_no_pii,challenge
SCN000185,Bystander report of a boundary dispute,Property Disputes,Inheritance property claim,"The observer witnessed an intense community argument unfolding near the house around 22:24. Several individuals were actively contesting an instance of inheritance property claim, with local residents stepping in to prevent physical escalation before authorities were notified.",2024-02-11,2024-01-24,22:24,Physical,House,India,Gujarat,recent_past,No,True,False,True,False,True,4,2,synthetic_reviewed,USR797,REV667,synthetic_no_pii,validation
SCN000186,heads up civic problem lost item reporting,Miscellaneous,Lost item reporting,hey guys warning if u are passing by the Railway station right now!! there is a massive lost item reporting that happened around 15:19 today. try to take a different route if possible to avoid getting stuck or delayed,2024-01-28,2024-01-25,15:19,Physical,Railway station,India,Uttar Pradesh,recent_past,No,False,False,True,False,False,3,1,synthetic_reviewed,USR160,REV945,synthetic_no_pii,test
SCN000187,Reported public grievance regarding noise pollution grievance,Miscellaneous,Noise pollution grievance,"Complainant registers a general municipal or public service notification regarding noise pollution grievance at the location of residential street. The incident transpired on 2026-06-27 at approximately 03:51 hours, causing minor public inconvenience or operational disruption. Log entries have been completed.",2024-02-16,2024-01-30,03:51,Physical,Residential street,India,Telangana,past,No,False,False,True,False,False,2,2,human_written,USR434,REV475,synthetic_no_pii,validation
